RUN	gatling.LoadSpec	loadspec	1685813198999	 	3.9.5
REQUEST		Field	1685813200944	1685813200996	OK	 
USER	Status Scenario	END	1685813200997
REQUEST		Place	1685813200952	1685813201002	OK	 
REQUEST		Place	1685813200972	1685813201007	OK	 
REQUEST		Place	1685813201002	1685813201011	OK	 
REQUEST		Place	1685813200989	1685813201018	OK	 
REQUEST		Place	1685813200968	1685813201025	OK	 
REQUEST		Place	1685813201011	1685813201030	OK	 
REQUEST		Place	1685813200962	1685813201035	OK	 
REQUEST		Place	1685813201019	1685813201037	OK	 
REQUEST		Place	1685813200994	1685813201038	OK	 
REQUEST		Place	1685813201025	1685813201044	OK	 
REQUEST		Place	1685813201007	1685813201051	OK	 
REQUEST		Place	1685813201030	1685813201056	OK	 
REQUEST		Place	1685813201036	1685813201061	OK	 
REQUEST		Place	1685813200990	1685813201067	OK	 
REQUEST		Place	1685813201039	1685813201068	OK	 
REQUEST		Place	1685813201038	1685813201069	OK	 
REQUEST		Place	1685813201044	1685813201075	OK	 
REQUEST		Place	1685813201051	1685813201075	OK	 
REQUEST		Place	1685813201062	1685813201078	OK	 
REQUEST		Place	1685813201069	1685813201079	OK	 
USER	Status Scenario	START	1685813201081
REQUEST		Place	1685813201068	1685813201088	OK	 
REQUEST		Place	1685813201070	1685813201090	OK	 
REQUEST		Place	1685813201056	1685813201092	OK	 
USER	Place Scenario	START	1685813201095
REQUEST		Place	1685813201075	1685813201100	OK	 
REQUEST		Place	1685813201079	1685813201101	OK	 
REQUEST		Place	1685813201100	1685813201106	OK	 
REQUEST		Place	1685813201076	1685813201108	OK	 
REQUEST		Place	1685813201090	1685813201115	OK	 
REQUEST		Place	1685813201106	1685813201116	OK	 
REQUEST		Place	1685813201080	1685813201123	OK	 
REQUEST		Place	1685813201115	1685813201125	OK	 
REQUEST		Place	1685813201123	1685813201130	OK	 
REQUEST		Place	1685813201130	1685813201135	OK	 
REQUEST		Status	1685813201081	1685813201141	OK	 
REQUEST		Place	1685813201088	1685813201143	OK	 
REQUEST		Place	1685813201102	1685813201145	OK	 
REQUEST		Field	1685813201142	1685813201149	OK	 
USER	Status Scenario	END	1685813201149
REQUEST		Place	1685813201146	1685813201152	OK	 
REQUEST		Place	1685813201092	1685813201153	OK	 
REQUEST		Place	1685813201109	1685813201159	OK	 
REQUEST		Place	1685813201125	1685813201162	OK	 
REQUEST		Place	1685813201117	1685813201164	OK	 
REQUEST		Place	1685813201153	1685813201170	OK	 
REQUEST		Place	1685813201159	1685813201178	OK	 
REQUEST		Place	1685813201144	1685813201179	OK	 
REQUEST		Place	1685813201162	1685813201183	OK	 
REQUEST		Place	1685813201135	1685813201185	OK	 
REQUEST		Place	1685813201171	1685813201188	OK	 
REQUEST		Place	1685813201154	1685813201191	OK	 
REQUEST		Reset	1685813201095	1685813201196	OK	 
REQUEST		Place	1685813201179	1685813201199	OK	 
REQUEST		Place	1685813201183	1685813201200	OK	 
REQUEST		Place	1685813201178	1685813201202	OK	 
REQUEST		Place	1685813201200	1685813201210	OK	 
REQUEST		Place	1685813201186	1685813201212	OK	 
REQUEST		Place	1685813201197	1685813201216	OK	 
REQUEST		Place	1685813201201	1685813201217	OK	 
REQUEST		Place	1685813201188	1685813201221	OK	 
REQUEST		Place	1685813201164	1685813201227	OK	 
REQUEST		Place	1685813201202	1685813201235	OK	 
REQUEST		Place	1685813201217	1685813201241	OK	 
REQUEST		Place	1685813201213	1685813201241	OK	 
REQUEST		Place	1685813201216	1685813201242	OK	 
REQUEST		Place	1685813201210	1685813201242	OK	 
REQUEST		Place	1685813201191	1685813201243	OK	 
REQUEST		Place	1685813201243	1685813201248	OK	 
REQUEST		Place	1685813201236	1685813201250	OK	 
REQUEST		Place	1685813201249	1685813201256	OK	 
REQUEST		Place	1685813201242	1685813201257	OK	 
REQUEST		Place	1685813201222	1685813201261	OK	 
REQUEST		Place	1685813201228	1685813201264	OK	 
REQUEST		Place	1685813201256	1685813201270	OK	 
REQUEST		Place	1685813201258	1685813201273	OK	 
REQUEST		Place	1685813201244	1685813201276	OK	 
REQUEST		Place	1685813201264	1685813201277	OK	 
USER	Status Scenario	START	1685813201281
REQUEST		Place	1685813201241	1685813201282	OK	 
REQUEST		Place	1685813201243	1685813201289	OK	 
REQUEST		Place	1685813201251	1685813201290	OK	 
REQUEST		Place	1685813201270	1685813201292	OK	 
USER	Place Scenario	START	1685813201295
REQUEST		Place	1685813201290	1685813201296	OK	 
