RUN	gatling.LoadSpec	loadspec	1685822328886	 	3.9.5
USER	Status Scenario	START	1685822330063
USER	Place Scenario	START	1685822330061
USER	Status Scenario	START	1685822330221
USER	Place Scenario	START	1685822330223
USER	Status Scenario	START	1685822330421
USER	Place Scenario	START	1685822330425
REQUEST		Status	1685822330063	1685822330518	OK	 
REQUEST		Field	1685822330563	1685822330583	OK	 
USER	Status Scenario	END	1685822330587
USER	Status Scenario	START	1685822330621
USER	Place Scenario	START	1685822330629
REQUEST		Status	1685822330220	1685822330680	OK	 
REQUEST		Reset	1685822330060	1685822330767	OK	 
REQUEST		Reset	1685822330223	1685822330776	OK	 
REQUEST		Status	1685822330420	1685822330793	OK	 
REQUEST		Field	1685822330680	1685822330807	OK	 
USER	Status Scenario	END	1685822330809
REQUEST		Field	1685822330794	1685822330815	OK	 
USER	Status Scenario	END	1685822330816
USER	Status Scenario	START	1685822330825
USER	Place Scenario	START	1685822330827
REQUEST		Place	1685822330783	1685822330849	OK	 
REQUEST		Place	1685822330798	1685822330860	OK	 
REQUEST		Reset	1685822330425	1685822330875	OK	 
REQUEST		Status	1685822330620	1685822330880	OK	 
REQUEST		Reset	1685822330629	1685822330899	OK	 
REQUEST		Place	1685822330853	1685822330918	OK	 
REQUEST		Status	1685822330825	1685822330930	OK	 
REQUEST		Place	1685822330861	1685822330941	OK	 
REQUEST		Place	1685822330875	1685822330946	OK	 
REQUEST		Reset	1685822330827	1685822330952	OK	 
REQUEST		Field	1685822330881	1685822330954	OK	 
USER	Status Scenario	END	1685822330955
REQUEST		Field	1685822330931	1685822330964	OK	 
USER	Status Scenario	END	1685822330965
REQUEST		Place	1685822330902	1685822330974	OK	 
REQUEST		Place	1685822330919	1685822330985	OK	 
REQUEST		Place	1685822330942	1685822330992	OK	 
REQUEST		Place	1685822330975	1685822330997	OK	 
REQUEST		Place	1685822330947	1685822330999	OK	 
REQUEST		Place	1685822330952	1685822331004	OK	 
REQUEST		Place	1685822330986	1685822331006	OK	 
REQUEST		Place	1685822330992	1685822331015	OK	 
REQUEST		Place	1685822330997	1685822331019	OK	 
USER	Status Scenario	START	1685822331021
USER	Place Scenario	START	1685822331027
REQUEST		Place	1685822331000	1685822331028	OK	 
REQUEST		Place	1685822331007	1685822331031	OK	 
REQUEST		Place	1685822331016	1685822331043	OK	 
REQUEST		Place	1685822331019	1685822331047	OK	 
REQUEST		Status	1685822331020	1685822331061	OK	 
REQUEST		Place	1685822331005	1685822331063	OK	 
REQUEST		Place	1685822331032	1685822331066	OK	 
REQUEST		Place	1685822331044	1685822331072	OK	 
REQUEST		Place	1685822331029	1685822331077	OK	 
REQUEST		Reset	1685822331026	1685822331083	OK	 
REQUEST		Place	1685822331073	1685822331083	OK	 
REQUEST		Field	1685822331061	1685822331092	OK	 
USER	Status Scenario	END	1685822331092
REQUEST		Place	1685822331084	1685822331095	OK	 
REQUEST		Place	1685822331063	1685822331103	OK	 
REQUEST		Place	1685822331096	1685822331106	OK	 
REQUEST		Place	1685822331067	1685822331116	OK	 
REQUEST		Place	1685822331107	1685822331121	OK	 
REQUEST		Place	1685822331078	1685822331122	OK	 
REQUEST		Place	1685822331083	1685822331130	OK	 
REQUEST		Place	1685822331122	1685822331137	OK	 
REQUEST		Place	1685822331048	1685822331138	OK	 
REQUEST		Place	1685822331123	1685822331144	OK	 
REQUEST		Place	1685822331131	1685822331148	OK	 
REQUEST		Place	1685822331137	1685822331157	OK	 
REQUEST		Place	1685822331145	1685822331162	OK	 
REQUEST		Place	1685822331104	1685822331163	OK	 
REQUEST		Place	1685822331139	1685822331168	OK	 
REQUEST		Place	1685822331148	1685822331174	OK	 
REQUEST		Place	1685822331116	1685822331177	OK	 
REQUEST		Place	1685822331157	1685822331182	OK	 
REQUEST		Place	1685822331163	1685822331187	OK	 
REQUEST		Place	1685822331168	1685822331189	OK	 
REQUEST		Place	1685822331174	1685822331195	OK	 
REQUEST		Place	1685822331177	1685822331200	OK	 
REQUEST		Place	1685822331183	1685822331206	OK	 
REQUEST		Place	1685822331164	1685822331213	OK	 
REQUEST		Place	1685822331188	1685822331217	OK	 
USER	Status Scenario	START	1685822331221
REQUEST		Place	1685822331190	1685822331222	OK	 
USER	Place Scenario	START	1685822331227
REQUEST		Place	1685822331201	1685822331239	OK	 
REQUEST		Place	1685822331207	1685822331242	OK	 
REQUEST		Place	1685822331195	1685822331250	OK	 
REQUEST		Place	1685822331223	1685822331254	OK	 
REQUEST		Place	1685822331213	1685822331265	OK	 
REQUEST		Reset	1685822331227	1685822331268	OK	 
REQUEST		Place	1685822331243	1685822331272	OK	 
REQUEST		Place	1685822331218	1685822331278	OK	 
REQUEST		Status	1685822331220	1685822331285	OK	 
REQUEST		Place	1685822331268	1685822331291	OK	 
REQUEST		Place	1685822331266	1685822331296	OK	 
REQUEST		Place	1685822331272	1685822331301	OK	 
REQUEST		Place	1685822331255	1685822331308	OK	 
REQUEST		Place	1685822331240	1685822331315	OK	 
REQUEST		Place	1685822331291	1685822331319	OK	 
REQUEST		Place	1685822331250	1685822331324	OK	 
REQUEST		Place	1685822331279	1685822331329	OK	 
REQUEST		Place	1685822331302	1685822331336	OK	 
REQUEST		Field	1685822331285	1685822331340	OK	 
USER	Status Scenario	END	1685822331341
