RUN	gatling.LoadSpec	loadspec	1685544924046	 	3.9.5
USER	Place Scenario	START	1685544924598
USER	Status Scenario	START	1685544924598
REQUEST		Status	1685544924596	1685544924746	OK	 
REQUEST		Field	1685544924757	1685544924766	OK	 
USER	Status Scenario	END	1685544924768
USER	Place Scenario	START	1685544924774
USER	Status Scenario	START	1685544924775
REQUEST		Status	1685544924773	1685544924787	OK	 
REQUEST		Field	1685544924788	1685544924796	OK	 
USER	Status Scenario	END	1685544924796
REQUEST		Reset	1685544924596	1685544924839	OK	 
REQUEST		Reset	1685544924773	1685544924839	OK	 
REQUEST		Place	1685544924846	1685544924866	OK	 
REQUEST		Place	1685544924846	1685544924866	OK	 
REQUEST		Place	1685544924868	1685544924881	OK	 
REQUEST		Place	1685544924868	1685544924881	OK	 
REQUEST		Place	1685544924881	1685544924889	OK	 
REQUEST		Place	1685544924881	1685544924889	OK	 
REQUEST		Place	1685544924890	1685544924898	OK	 
REQUEST		Place	1685544924890	1685544924898	OK	 
REQUEST		Place	1685544924898	1685544924907	OK	 
REQUEST		Place	1685544924898	1685544924907	OK	 
REQUEST		Place	1685544924907	1685544924915	OK	 
REQUEST		Place	1685544924907	1685544924916	OK	 
REQUEST		Place	1685544924917	1685544924922	OK	 
REQUEST		Place	1685544924915	1685544924922	OK	 
REQUEST		Place	1685544924923	1685544924930	OK	 
REQUEST		Place	1685544924923	1685544924930	OK	 
REQUEST		Place	1685544924930	1685544924936	OK	 
REQUEST		Place	1685544924930	1685544924936	OK	 
REQUEST		Place	1685544924937	1685544924943	OK	 
REQUEST		Place	1685544924937	1685544924943	OK	 
REQUEST		Place	1685544924944	1685544924950	OK	 
REQUEST		Place	1685544924944	1685544924950	OK	 
REQUEST		Place	1685544924951	1685544924956	OK	 
REQUEST		Place	1685544924951	1685544924956	OK	 
REQUEST		Place	1685544924957	1685544924963	OK	 
REQUEST		Place	1685544924957	1685544924963	OK	 
REQUEST		Place	1685544924964	1685544924971	OK	 
REQUEST		Place	1685544924964	1685544924971	OK	 
USER	Status Scenario	START	1685544924972
USER	Place Scenario	START	1685544924972
REQUEST		Place	1685544924971	1685544924979	OK	 
REQUEST		Place	1685544924971	1685544924979	OK	 
REQUEST		Reset	1685544924971	1685544924985	OK	 
REQUEST		Status	1685544924971	1685544924985	OK	 
REQUEST		Place	1685544924980	1685544924985	OK	 
REQUEST		Place	1685544924980	1685544924985	OK	 
REQUEST		Field	1685544924985	1685544924990	OK	 
USER	Status Scenario	END	1685544924991
REQUEST		Place	1685544924985	1685544924992	OK	 
REQUEST		Place	1685544924986	1685544924992	OK	 
REQUEST		Place	1685544924986	1685544924992	OK	 
REQUEST		Place	1685544924992	1685544924998	OK	 
